COD;MUNI;BCG_2019;BCG_2020;BCG_2021;BCG_2022
110001;ALTA FLORESTA D'OESTE;99,72;82,2;68,12;114,11
110002;ARIQUEMES;98,2;82,25;84,38;112,61
110003;CABIXI;17,91;56,72;56,25;94,2
110004;CACOAL;109,09;87,47;97,38;125,51
110005;CEREJEIRAS;44,04;84,12;102,11;110,78
110006;COLORADO DO OESTE;19,75;50,21;96,26;171,92
110007;CORUMBIARA;50,57;55,17;63,78;65,42
110008;COSTA MARQUES;131,48;84,26;68,67;100,53
110009;ESPIGAO D'OESTE;71,48;83,49;104;64,12
110010;GUAJARA-MIRIM;85,39;57,24;75,16;71,33
110011;JARU;109,22;108,98;70,6;93,61
110012;JI-PARANA;96,29;109,27;91,11;122,64
110013;MACHADINHO D'OESTE;86,64;107,13;87,2;77,72
110014;NOVA BRASILANDIA D'OESTE;126,79;70,54;96,93;132,17
110015;OURO PRETO DO OESTE;91,52;64,01;57,69;71,17
110018;PIMENTA BUENO;88,94;100,49;97,89;112,78
110020;PORTO VELHO;79,49;69,67;51,91;76,65
110025;PRESIDENTE MEDICI;94,81;82,35;82,57;120,46
110026;RIO CRESPO;97,96;124,49;90;77,08
110028;ROLIM DE MOURA;56,49;17,03;74,22;158,38
110029;SANTA LUZIA D'OESTE;53,57;43,75;42,42;66,67
110030;VILHENA;147,24;66,76;116,54;180,94
110032;SAO MIGUEL DO GUAPORE;89,25;66,4;45,61;83,2
110033;NOVA MAMORE;67,76;58,52;36,57;76,6
110034;ALVORADA D'OESTE;93,26;76,97;40,98;85,71
110037;ALTO ALEGRE DOS PARECIS;65,12;52,91;75,32;136,99
110040;ALTO PARAISO;90,91;86,78;57,08;129,82
110045;BURITIS;101,74;102,37;124,19;138,78
110050;NOVO HORIZONTE DO OESTE;101,1;54,95;88,78;211,54
110060;CACAULANDIA;101,41;42,25;37,33;107,14
110070;CAMPO NOVO DE RONDONIA;52,87;36,78;31,93;64,74
110080;CANDEIAS DO JAMARI;38,29;45,59;67,36;110,47
110090;CASTANHEIRAS;41,03;5,13;28,12;118,92
110092;CHUPINGUAIA;24,85;53,85;77,78;170,99
110094;CUJUBIM;103,35;125,84;75,61;84,15
110100;GOVERNADOR JORGE TEIXEIRA;99,08;60,55;99,11;91,86
110110;ITAPUA DO OESTE;126,32;126,32;80,73;107,56
110120;MINISTRO ANDREAZZA;46;55;70,24;102,7
110130;MIRANTE DA SERRA;105,13;65,38;48,78;47,62
110140;MONTE NEGRO;101;92;73,87;86,83
110143;NOVA UNIAO;80,85;107,45;75;128,74
110145;PARECIS;78,43;52,94;79,55;120,34
110146;PIMENTEIRAS DO OESTE;36,54;38,46;90;184,62
110147;PRIMAVERA DE RONDONIA;68,25;63,49;60,47;113,16
110148;SAO FELIPE D'OESTE;65,33;69,33;64,81;73,85
110149;SAO FRANCISCO DO GUAPORE;82,28;61,56;73,93;105,64
110150;SERINGUEIRAS;66,49;65,96;82,74;93,83
110155;TEIXEIROPOLIS;112,07;74,14;82,81;157,14
110160;THEOBROMA;62,33;47,95;26,8;77,39
110170;URUPA;102,67;74;57,65;78,32
110175;VALE DO ANARI;132,56;54,65;48,39;98,61
110180;VALE DO PARAISO;118,99;59,49;37,04;120,97
120001;ACRELANDIA;36,72;35,16;44,75;37,55
120005;ASSIS BRASIL;79,84;52,42;65,41;86,98
120010;BRASILEIA;86,67;71,23;51,3;80,27
120013;BUJARI;24,43;15,64;29,18;87,55
120017;CAPIXABA;20,16;20,58;44,7;41,58
120020;CRUZEIRO DO SUL;85,33;38,36;59,15;124,07
120025;EPITACIOLANDIA;78,69;39,18;70,38;83,96
120030;FEIJO;85,59;68,31;69,8;58,81
120032;JORDAO;61,28;81,2;94,95;81,46
120033;MANCIO LIMA;129,89;51,96;54,78;79,29
120034;MANOEL URBANO;32,57;44,06;62,61;49,64
120035;MARECHAL THAUMATURGO;122,68;46,39;27,68;79,94
120038;PLACIDO DE CASTRO;25,25;23,28;40,25;41,75
120039;PORTO WALTER;85,11;48,94;38,52;64,46
120040;RIO BRANCO;126,11;100,43;86,32;86,95
120042;RODRIGUES ALVES;85,79;50,27;9,28;19,02
120043;SANTA ROSA DO PURUS;66,67;75,76;59,68;101,34
