Ano_Mes;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Brasil;Sinasc
2019/Jan;2147;1373;6425;1367;11667;1477;2271;9589;3806;11681;3804;4782;11993;4591;2234;16768;21480;4676;15119;49510;13413;7702;11644;4902;5013;8449;3902;241785;246048
2019/Fev;1932;1219;5720;1069;9589;1334;1883;7216;3261;10304;3358;4966;10753;3943;2672;14232;19622;4009;14289;44737;11845;6947;10140;4461;4264;6998;3344;214107;232779
2019/Mar;2099;1371;6083;1194;9655;1377;2438;7841;3427;10432;3635;4629;11672;4455;2864;14009;21223;3934;15536;47662;12836;7459;10640;4985;4787;8089;3568;227900;257871
2019/Abr;2090;1350;6162;1155;9815;1387;2680;8113;3832;11073;3277;5136;10935;4298;2796;14857;21214;4671;13940;45906;12687;7178;11225;4808;4944;7919;3785;227233;250164
2019/Mai;1910;1421;6146;1181;10035;1384;2476;8528;3146;10584;3743;4760;11443;4122;2809;14529;21861;4705;14658;48391;13539;7677;11486;4638;5052;8224;3637;232085;257068
2019/Jun;1853;1190;5636;1046;8988;1230;2635;7180;3196;9078;3023;4352;10245;3787;2906;12584;18932;4111;13311;43244;12354;7147;10617;4168;4132;6981;3284;207210;236360
2019/Jul;1983;1228;4997;1068;7498;1485;2635;7905;3295;8804;3180;5009;10159;4538;2635;14239;19164;4605;14893;43010;12508;7420;11311;4052;3823;6894;3726;212064;240490
2019/Ago;2059;1400;6438;1085;8869;1318;2469;7991;3072;8440;3409;4888;10068;3848;2180;12352;18456;3927;13338;41852;11120;6865;10194;4131;4121;6957;3312;204159;233817
2019/Set;2113;1367;6642;1137;10216;1335;2488;8718;3398;8186;3390;5103;9544;3758;2277;13626;18841;4873;13648;40583;11820;6576;9772;3966;4211;6720;3371;207679;233289
2019/Out;2167;1332;6625;1197;10346;1584;2198;8208;4105;7450;3022;4132;10289;3333;2092;13325;18053;3860;12158;37864;11200;6141;10079;3635;4176;6542;3257;198370;225172
